Round,Accuracy
0,0.0941245249926922
1,0.1847413037123648
2,0.24057293189125986
3,0.2332651271558024
4,0.3408360128617363
5,0.3770827243496054
6,0.4241449868459515
7,0.40514469453376206
8,0.4928383513592517
9,0.43203741596024553
10,0.4612686349020754
11,0.5027769657994738
12,0.5138848289973692
13,0.5363928675825782
14,0.572347266881029
15,0.583162817889506
16,0.5884244372990354
17,0.5919321835720549
18,0.6436714410990938
19,0.44752996199941536
20,0.6024554223911137
21,0.6805027769657995
22,0.6387021338789828
23,0.6737795966091786
24,0.7179187372113417
25,0.6688102893890675
26,0.7003800058462438
27,0.7351651563870213
28,0.6357790119847998
29,0.6790412160187079
30,0.6533177433498977
31,0.6840105232388191
32,0.6603332358959368
33,0.6822566501023093
34,0.7255188541362175
35,0.763227126571178
36,0.7506577024261911
37,0.7702426191172171
38,0.21981876644256065
39,0.7380882782812044
40,0.6810874013446361
41,0.6489330605086232
42,0.6924875767319497
43,0.7655656240865244
44,0.760304004676995
45,0.7310727857351652
46,0.7009646302250804
47,0.6837182110494008
48,0.7871967261034785
49,0.7646886875182695
50,0.7427652733118971
51,0.701549254603917
52,0.7050570008769366
53,0.7757965507161648
54,0.7339959076293482
55,0.757380882782812
56,0.7404267757965507
57,0.7983045893013738
58,0.7635194387605964
59,0.754457760888629
60,0.7763811750950015
61,0.7471499561531716
62,0.7415960245542239
63,0.7760888629055832
64,0.7497807658579363
65,0.8064893306050862
66,0.8281204326220404
67,0.8064893306050862
68,0.8213972522654195
69,0.8263665594855305
70,0.7579655071616487
71,0.7024261911721719
72,0.7953814674071908
73,0.7313650979245835
74,0.729903536977492
75,0.7743349897690733
76,0.7693656825489623
77,0.752411575562701
78,0.7734580532008185
79,0.7527038877521193
80,0.7410114001753874
81,0.8126278865828706
82,0.836597486115171
83,0.8225665010230927
84,0.769073370359544
85,0.740719087985969
86,0.7831043554516224
87,0.7418883367436422
88,0.7825197310727857
89,0.8181818181818182
90,0.8149663840982169
91,0.7991815258696288
92,0.7541654486992108
93,0.8099970768781058
94,0.8067816427945045
95,0.7755042385267465
96,0.7956737795966092
97,0.821981876644256
98,0.8412744811458638
99,0.8479976615024847
100,0.8050277696579947
