Round,Accuracy
0,0.07043147208121828
1,0.4741539763113367
2,0.5172588832487309
3,0.5644035532994924
4,0.5899111675126903
5,0.4667301184433164
6,0.5756768189509306
7,0.5874788494077834
8,0.49208967851099833
9,0.5145939086294417
10,0.5173011844331641
11,0.6465736040609137
12,0.6267131979695432
13,0.6214890016920473
14,0.6340101522842639
15,0.5251692047377327
16,0.612753807106599
17,0.5832275803722504
18,0.627834179357022
19,0.6096869712351946
20,0.6297377326565143
21,0.6190143824027072
22,0.6410744500846024
23,0.64084179357022
24,0.6471869712351945
25,0.646002538071066
26,0.5990693739424704
27,0.6582064297800339
28,0.637351945854484
29,0.6481175972927242
30,0.6200296108291032
31,0.6228214890016921
32,0.6416032148900169
33,0.6410532994923858
34,0.6305414551607444
35,0.6463620981387479
36,0.6500634517766497
37,0.5745769881556684
38,0.6147631133671743
39,0.6588197969543147
40,0.624344331641286
41,0.6414551607445008
42,0.6406937394247039
43,0.6490482233502538
44,0.6539128595600677
45,0.651163282571912
46,0.6623519458544839
47,0.6341370558375634
48,0.6657783417935702
49,0.6603003384094754
50,0.6517554991539763
51,0.6233502538071066
52,0.6494712351945855
53,0.6482021996615905
54,0.6587986463620982
55,0.6351311336717428
56,0.6591793570219966
57,0.6508883248730964
58,0.6168781725888325
59,0.6107021996615906
60,0.6352157360406091
61,0.6367597292724196
62,0.6355118443316413
63,0.6334390862944163
64,0.6326142131979695
65,0.6520304568527919
66,0.6084390862944162
67,0.6562394247038917
68,0.6048011844331641
69,0.6540397631133672
70,0.6429780033840947
71,0.6370346869712352
72,0.655414551607445
73,0.6589255499153976
74,0.6569585448392555
75,0.6527495769881557
76,0.6468062605752961
77,0.6600888324873097
78,0.6263747884940778
79,0.6038071065989847
80,0.6130287648054146
81,0.632593062605753
82,0.628595600676819
83,0.5965313028764806
84,0.607085448392555
85,0.6423434856175972
86,0.6164974619289341
87,0.6445431472081218
88,0.6513959390862945
89,0.6498519458544839
90,0.6353426395939086
91,0.6523054145516074
92,0.6055203045685279
93,0.6617597292724197
94,0.6481175972927242
95,0.6523900169204738
96,0.6007614213197969
97,0.6527072758037225
98,0.6406725888324873
99,0.6402918781725888
100,0.6463197969543147
